x,y,temperature
0,0,100
1,0,100
2,0,100
3,0,100
4,0,100
5,0,100
6,0,100
7,0,100
8,0,100
9,0,100
10,0,100
11,0,100
12,0,100
13,0,100
14,0,100
15,0,100
16,0,100
17,0,100
18,0,100
19,0,100
20,0,100
21,0,100
22,0,100
23,0,100
24,0,100
25,0,100
26,0,100
27,0,100
28,0,100
29,0,100
30,0,100
31,0,100
32,0,100
33,0,100
34,0,100
35,0,100
36,0,100
37,0,100
38,0,100
39,0,100
40,0,100
41,0,100
42,0,100
43,0,100
44,0,100
45,0,100
46,0,100
47,0,100
48,0,100
49,0,100
50,0,100
51,0,100
52,0,100
53,0,100
54,0,100
55,0,100
56,0,100
57,0,100
58,0,100
59,0,100
60,0,100
61,0,100
62,0,100
63,0,100
64,0,100
65,0,100
66,0,100
67,0,100
68,0,100
69,0,100
70,0,100
71,0,100
72,0,100
73,0,100
74,0,100
75,0,100
76,0,100
77,0,100
78,0,100
79,0,100
80,0,100
81,0,100
82,0,100
83,0,100
84,0,100
85,0,100
86,0,100
87,0,100
88,0,100
89,0,100
90,0,100
91,0,100
92,0,100
93,0,100
94,0,100
95,0,100
96,0,100
97,0,100
98,0,100
99,0,100
100,0,100
101,0,100
102,0,100
103,0,100
104,0,100
105,0,100
106,0,100
107,0,100
108,0,100
109,0,100
110,0,100
111,0,100
112,0,100
113,0,100
114,0,100
115,0,100
116,0,100
117,0,100
118,0,100
119,0,100
120,0,100
121,0,100
122,0,100
123,0,100
124,0,100
125,0,100
126,0,100
127,0,100
128,0,100
129,0,100
130,0,100
131,0,100
132,0,100
133,0,100
134,0,100
135,0,100
136,0,100
137,0,100
138,0,100
139,0,100
140,0,100
141,0,100
142,0,100
143,0,100
144,0,100
145,0,100
146,0,100
147,0,100
148,0,100
149,0,100
150,0,100
151,0,100
152,0,100
153,0,100
154,0,100
155,0,100
156,0,100
157,0,100
158,0,100
159,0,100
160,0,100
161,0,100
162,0,100
163,0,100
164,0,100
165,0,100
166,0,100
167,0,100
168,0,100
169,0,100
170,0,100
171,0,100
172,0,100
173,0,100
174,0,100
175,0,100
176,0,100
177,0,100
178,0,100
179,0,100
180,0,100
181,0,100
182,0,100
183,0,100
184,0,100
185,0,100
186,0,100
187,0,100
188,0,100
189,0,100
190,0,100
191,0,100
192,0,100
193,0,100
194,0,100
195,0,100
196,0,100
197,0,100
198,0,100
199,0,100

0,1,0
1,1,49.841202525154
2,1,69.448073388899
3,1,78.586276989509
4,1,83.519214758788
5,1,86.501255962212
6,1,88.457870348178
7,1,89.818743122228
8,1,90.805739752148
9,1,91.543857517903
10,1,92.108624864244
11,1,92.548311912491
12,1,92.895198799156
13,1,93.171688351729
14,1,93.393813298105
15,1,93.573345843166
16,1,93.719118510746
17,1,93.837880158179
18,1,93.934867635758
19,1,94.014197760512
20,1,94.07914246972
21,1,94.132326088048
22,1,94.175869483331
23,1,94.211497260749
24,1,94.240618752142
25,1,94.264390105733
26,1,94.283762525719
27,1,94.299520208885
28,1,94.312310507501
29,1,94.322668147512
30,1,94.331034842254
31,1,94.337775296503
32,1,94.343190348455
33,1,94.34752781842
34,1,94.350991502201
35,1,94.35374865047
36,1,94.355936203261
37,1,94.357665994209
38,1,94.359029097575
39,1,94.360099459023
40,1,94.360936926005
41,1,94.361589773835
42,1,94.362096807635
43,1,94.362489107477
44,1,94.362791473515
45,1,94.363023619164
46,1,94.363201153036
47,1,94.363336384229
48,1,94.363438980263
49,1,94.363516502541
50,1,94.363574840331
51,1,94.363618561034
52,1,94.363651191638
53,1,94.363675443877
54,1,94.363693393527
55,1,94.363706622524
56,1,94.363716331082
57,1,94.363723425716
58,1,94.363728588026
59,1,94.363732328171
60,1,94.363735026257
61,1,94.363736964187
62,1,94.36373835008
63,1,94.363739336865
64,1,94.363740036404
65,1,94.363740530136
66,1,94.363740877077
67,1,94.363741119794
68,1,94.363741288846
69,1,94.363741406068
70,1,94.36374148699
71,1,94.363741542604
72,1,94.363741580654
73,1,94.363741606572
74,1,94.363741624146
75,1,94.36374163601
76,1,94.363741643982
77,1,94.363741649316
78,1,94.363741652868
79,1,94.363741655223
80,1,94.363741656777
81,1,94.363741657798
82,1,94.363741658466
83,1,94.363741658901
84,1,94.363741659183
85,1,94.363741659364
86,1,94.363741659481
87,1,94.363741659556
88,1,94.363741659603
89,1,94.363741659634
90,1,94.363741659653
91,1,94.363741659664
92,1,94.363741659672
93,1,94.363741659677
94,1,94.363741659679
95,1,94.363741659681
96,1,94.363741659682
97,1,94.363741659683
98,1,94.363741659683
99,1,94.363741659683
100,1,94.363741659683
101,1,94.363741659683
102,1,94.363741659683
103,1,94.363741659682
104,1,94.363741659681
105,1,94.363741659679
106,1,94.363741659677
107,1,94.363741659672
108,1,94.363741659664
109,1,94.363741659653
110,1,94.363741659634
111,1,94.363741659603
112,1,94.363741659556
113,1,94.363741659481
114,1,94.363741659364
115,1,94.363741659183
116,1,94.363741658901
117,1,94.363741658466
118,1,94.363741657798
119,1,94.363741656777
120,1,94.363741655223
121,1,94.363741652868
122,1,94.363741649316
123,1,94.363741643982
124,1,94.36374163601
125,1,94.363741624146
126,1,94.363741606572
127,1,94.363741580654
128,1,94.363741542604
129,1,94.36374148699
130,1,94.363741406068
131,1,94.363741288846
132,1,94.363741119794
133,1,94.363740877077
134,1,94.363740530136
135,1,94.363740036404
136,1,94.363739336865
137,1,94.36373835008
138,1,94.363736964187
139,1,94.363735026257
140,1,94.363732328171
141,1,94.363728588026
142,1,94.363723425716
143,1,94.363716331082
144,1,94.363706622524
