
# Curve 0 of 1, 7 points
# Curve title: "extract(m) using 1:2"
# x y type
 20  0.00046742  i
 40  0.00198591  i
 80  0.00872397  i
 120  0.0171469  i
 160  0.031189  i
 200  0.0476094  i


